icao,name,municipality,iso_country,type
UIAI,Cheryomushki Air Base,Chita,RU,medium_airport
XHIS,Chuguyevka Air Base,Chuguyevka,RU,medium_airport
UEEK,Yugoryonok Airport,Yugoryonok,RU,small_airport
ULML,Lovozero Airfield,Lovozero,RU,small_airport
XWON,Orenburg Air Base,Orenburg,RU,small_airport
XIUW,Ulan-Ude East Airport,Ulan Ude,RU,medium_airport
XIAS,Step Air Base,Chita,RU,medium_airport
XSSN,Salka Airfield,Nizhny Tagil,RU,small_airport
XSSJ,Yugorsk Sovetsky Air Base,Yugorsk,RU,medium_airport
USCU,Uprun Air Base,Uvelsky,RU,medium_airport
ULLK,Krechevitsy Air Base,Novgorod,RU,medium_airport
KS09,Hot Springs Airport,Hot Springs,US,small_airport
KS37,Smoketown Airport,Smoketown,US,small_airport
KS77,Magee Airport,Cataldo,US,small_airport
KS79,Green Sea Airport,Green Sea,US,small_airport
KS92,Fish Lake US Forest Service Airport,Kooskia,US,small_airport
OEKN,Khurais Airport,Khurais,SA,small_airport
OEKA,Khashm Alan Air Base,Riyadh,SA,small_airport
OESN,King Salman Air Base,Riyadh,SA,medium_airport
SA01,Cachi Airport,Cachi,AR,small_airport
SA03,Villa Minetti Airport,Villa Minetti,AR,small_airport
SAAK,Isla Martin Garcia Airport,Isla Martin Garcia,AR,small_airport
SA05,Bell Ville Airport,Bell Ville,AR,small_airport
SA06,Santa Rita Airport,Saladillo,AR,small_airport
SA07,El Porton Airport,Buta Ranquil,AR,small_airport
SA10,Aeródromo Estancia Don Panos,Presidencia Roca,AR,small_airport
SA12,Quemu Quemu Airport,Quemu Quemu,AR,small_airport
SA13,Estancia La Estrella Airport,Tandil,AR,small_airport
